Date,Open,High,Low,Close
20210202,15452.0,15819.0,15452.0,15754.0
20210203,15810.0,15875.0,15716.0,15773.0
20210204,15720.0,15777.0,15543.0,15702.0
20210205,15900.0,15984.0,15751.0,15804.0
20210216,15995.0,16500.0,15804.0,16100.0
20210217,16060.0,16433.0,16000.0,16325.0
20210218,16371.0,16525.0,16288.0,16380.0
20210219,16100.0,16328.0,16100.0,16310.0
20210222,16460.0,16562.0,16336.0,16382.0
20210223,16230.0,16450.0,16182.0,16439.0
20210224,16324.0,16435.0,16133.0,16181.0
20210225,16300.0,16422.0,16244.0,16389.0
20210226,16087.0,16117.0,15852.0,15935.0
20210302,16158.0,16274.0,15868.0,15905.0
20210303,16046.0,16196.0,15885.0,16186.0
20210304,16060.0,16065.0,15757.0,15925.0
20210305,15600.0,15914.0,15461.0,15854.0
20210308,16050.0,16095.0,15768.0,15815.0
20210309,15880.0,15880.0,15608.0,15824.0
20210310,15908.0,15994.0,15808.0,15875.0
20210311,15917.0,16213.0,15917.0,16173.0
20210312,16251.0,16285.0,16156.0,16224.0
20210315,16125.0,16249.0,16125.0,16199.0
20210316,16267.0,16348.0,16091.0,16306.0
20210317,16376.0,16376.0,16161.0,16176.0
20210318,16131.0,16401.0,16050.0,16238.0
20210319,16057.0,16110.0,15953.0,16012.0
20210322,16010.0,16174.0,15911.0,16140.0
20210323,16189.0,16277.0,16103.0,16119.0
20210324,16020.0,16062.0,15939.0,15982.0
20210325,15795.0,16090.0,15700.0,16033.0
20210326,16099.0,16292.0,16082.0,16289.0
20210329,16486.0,16486.0,16300.0,16410.0
20210330,16520.0,16531.0,16400.0,16522.0
20210331,16498.0,16549.0,16403.0,16424.0
20210401,16490.0,16586.0,16452.0,16550.0
20210406,16506.0,16840.0,16506.0,16728.0
20210407,16750.0,16788.0,16674.0,16768.0
20210408,16640.0,16930.0,16626.0,16928.0
20210409,16850.0,16970.0,16811.0,16839.0
20210412,16822.0,16965.0,16761.0,16836.0
20210413,16918.0,17046.0,16780.0,16795.0
20210414,16824.0,16917.0,16592.0,16856.0
20210415,16801.0,17073.0,16801.0,17072.0
20210416,17127.0,17160.0,16990.0,17158.0
20210419,17085.0,17296.0,17057.0,17270.0
20210420,17271.0,17324.0,17162.0,17320.0
20210421,17300.0,17300.0,17150.0,17232.0
